,user_id,label,all_launch_count,last_launch,all_video_count,last_video,all_action_count,last_action,all_action_day,register_type,day,device_type,register_day
0,16,0,9,16,0,0,206,16,9,0,13,2010,5
1,98,0,1,9,1,9,1,9,1,0,16,28,8
2,105,1,11,16,0,0,1476,16,10,2,12,5,4
3,218,1,13,16,0,0,662,16,13,1,11,1144,3
4,225,1,7,16,0,0,348,16,7,0,0,0,-1
5,250,1,6,16,0,0,156,16,5,2,17,10,9
6,325,1,1,15,0,0,80,15,1,0,22,17,14
7,336,1,1,4,0,0,50,4,1,0,0,0,-1
8,481,1,1,16,0,0,52,16,1,2,23,32,15
9,493,1,1,16,0,0,37,16,1,1,23,90,15
10,555,1,3,16,1,15,613,16,3,0,21,10,13
11,639,0,1,11,0,0,0,0,0,0,18,102,10
12,746,0,1,7,0,0,2,7,1,0,14,593,6
13,820,1,1,16,0,0,22,16,1,2,23,106,15
14,858,0,1,14,0,0,5,14,1,1,21,210,13
15,901,0,3,15,0,0,8,7,1,1,14,399,6
16,973,1,4,14,5,13,161,14,4,0,0,0,-1
17,975,1,5,16,0,0,706,16,5,0,18,147,10
18,1014,0,7,14,6,14,94,14,4,2,8,7,0
19,1036,1,5,13,0,0,250,13,5,1,13,5101,5
20,1039,1,14,16,0,0,937,16,14,0,0,0,-1
21,1120,0,2,16,0,0,10,16,2,0,22,18,14
22,1180,0,2,15,1,14,330,15,2,1,21,194,13
23,1184,0,1,13,0,0,0,0,0,2,20,10,12
24,1266,0,1,16,0,0,15,16,1,0,23,688,15
25,1296,1,6,11,9,11,200,11,5,1,11,5,3
26,1308,1,4,16,0,0,309,16,4,0,0,0,-1
27,1330,0,1,9,0,0,2,9,1,0,16,0,8
28,1340,1,1,3,0,0,1,3,1,5,10,10,2
29,1344,0,4,12,0,0,102,12,4,0,10,50,2
30,1355,1,2,16,0,0,1,13,1,0,20,808,12
31,1406,0,1,3,0,0,33,3,1,0,0,0,-1
32,1407,0,1,14,0,0,4,14,1,0,0,0,-1
33,1438,0,4,14,0,0,0,0,0,0,0,0,-1
34,1506,1,12,16,0,0,6127,16,12,2,12,213,4
35,1561,0,1,5,0,0,0,0,0,1,12,10,4
36,1612,1,6,16,0,0,1272,16,6,0,18,0,10
37,1673,1,2,15,0,0,283,15,2,0,21,5,13
38,1693,0,1,12,0,0,8,12,1,0,19,1367,11
39,1720,0,1,5,0,0,0,0,0,1,12,2,4
40,1773,1,10,16,0,0,439,16,10,1,13,21,5
41,1776,1,6,15,0,0,25,15,5,0,15,7,7
42,1853,0,1,16,0,0,7,16,1,1,23,70,15
43,1865,1,6,16,0,0,268,16,6,0,0,0,-1
44,1977,1,3,15,0,0,143,15,3,0,16,10,8
45,1995,1,6,16,0,0,675,16,6,0,14,23,6
46,2040,1,6,13,4,13,83,13,3,0,9,1220,1
47,2066,1,3,12,0,0,98,12,3,0,17,2,9
48,2068,1,3,11,1,9,40,11,3,1,16,35,8
49,2083,1,2,16,0,0,254,16,2,1,22,0,14
50,2087,0,1,10,0,0,0,0,0,4,17,2,9
51,2089,1,6,16,0,0,23,9,4,0,0,0,-1
52,2155,0,1,16,0,0,0,0,0,1,23,112,15
53,2180,0,12,16,0,0,410,16,12,0,0,0,-1
54,2223,1,3,15,0,0,218,15,3,1,19,86,11
